,City,State,Country,BNA Score
0,Adelaide,SA,AU,27
1,Adelaide LGA,SA,AU,43
2,Albury-Wodonga,NSW,AU,37
3,Alice Springs,NT,AU,50
4,Ballarat,VIC,AU,28
5,Batemans Bay,NSW,AU,30
6,Bathurst,NSW,AU,30
7,Bendigo,VIC,AU,32
8,Brisbane,QLD,AU,32
9,Brisbane LGA,QLD,AU,29
10,Bunbury,WA,AU,27
11,Bundaberg,QLD,AU,31
12,Cairns,QLD,AU,28
13,Cairns LGA,QLD,AU,30
14,Canberra,ACT,AU,53
15,Central Coast,NSW,AU,25
16,Charles Sturt LGA,SA,AU,31
17,Coffs Harbour,NSW,AU,30
18,Darwin,NT,AU,36
19,Darwin LGA,NT,AU,37
20,Eurobodalla LGA,NSW,AU,46
21,Fraser Coast LGA,QLD,AU,42
22,Geelong,VIC,AU,31
23,Gladstone-Tannum Sands,QLD,AU,29
24,Gold Coast,QLD,AU,29
25,Gosnells LGA,WA,AU,34
26,Greater Bendigo LGA,VIC,AU,36
27,Hervey Bay,QLD,AU,45
28,Hobart,TAS,AU,29
29,Hobart LGA,TAS,AU,26
30,Kempsey,NSW,AU,37
31,Launceston,TAS,AU,26
32,Launceston LGA,TAS,AU,27
33,Liverpool LGA,NSW,AU,33
34,Mackay,QLD,AU,43
35,Melbourne LGA,VIC,AU,42
36,Melton,VIC,AU,26
37,Mildura,VIC,AU,32
38,Mildura LGA,VIC,AU,34
39,Moreland LGA,VIC,AU,37
40,Mount Barker LGA,SA,AU,50
41,Mount Gambier,SA,AU,31
42,Mount Gambier LGA,SA,AU,30
43,Newcastle,NSW,AU,26
44,Newcastle LGA,NSW,AU,28
45,Orange,NSW,AU,25
46,Orange LGA,NSW,AU,26
47,Parramatta LGA,NSW,AU,25
48,Perth,WA,AU,32
49,Perth LGA,WA,AU,47
50,Playford LGA,SA,AU,22
51,Port Adelaide Enfield LGA,SA,AU,22
52,Port Macquarie,NSW,AU,20
53,Rockhampton,QLD,AU,28
54,Rockhampton LGA,QLD,AU,30
55,Ryde LGA,NSW,AU,25
56,Shepparton-Mooroopna,VIC,AU,29
57,Sunshine Coast,QLD,AU,42
58,Sydney,NSW,AU,26
59,Sydney LGA,NSW,AU,48
60,Taree,NSW,AU,32
61,Toowoomba,QLD,AU,26
62,Toowoomba LGA,QLD,AU,31
63,Townsville,QLD,AU,23
64,Unley LGA,SA,AU,45
65,Vincent LGA,WA,AU,32
66,Wagga Wagga,NSW,AU,36
67,Whitehorse LGA,VIC,AU,26
68,Whittlesea LGA,VIC,AU,39
69,Wollongong,NSW,AU,29
70,Wollongong LGA,NSW,AU,30
71,Yarra LGA,VIC,AU,60
72,Antwerp,Antwerp,BE,77
73,Bruges,Bruges,BE,74
74,Brussels,Brussels,BE,84
75,Deinze,Deinze,BE,64
76,Ghent,Ghent,BE,78
77,Hasselt,Hasselt,BE,78
78,Heusden-Zolder,Heusden-Zolder,BE,62
79,Knokke,Knokke,BE,70
80,Kortrijk,Kortrijk,BE,73
81,Leuven,Leuven,BE,85
82,Belford Roxo,Belford Roxo,BR,42
83,Porto Alegre,Porto Alegre,BR,54
84,São Paulo,São Paulo,BR,52
85,Abbotsford,BC,CA,39
86,Ajax,ON,CA,47
87,Barrie,ON,CA,35
88,Boucherville,QC,CA,70
89,Brampton,ON,CA,44
90,Brandon,MB,CA,34
91,Bromont,QC,CA,87
92,Burlington,ON,CA,45
93,Burnaby,BC,CA,44
94,Calgary,AB,CA,60
95,Canmore,AB,CA,61
96,Chambly,QC,CA,74
97,Chelsea,QC,CA,62
98,Chilliwack,BC,CA,37
99,Cole Harbour,NS,CA,36
100,Coquitlam,BC,CA,40
101,Courtenay,BC,CA,36
102,Drummondville,QC,CA,46
103,Edmonton,AB,CA,58
104,Edmundston,NB,CA,47
105,Fredericton,NB,CA,55
106,Gatineau,QC,CA,66
107,Granby,QC,CA,60
108,Guelph,ON,CA,36
109,Halifax,NS,CA,38
110,Hamilton,ON,CA,52
111,Kamloops,BC,CA,45
112,Kelowna,BC,CA,46
113,Kingston,ON,CA,42
114,Kitchener,ON,CA,47
115,L'Ancienne-Lorette,QC,CA,37
116,Langley,BC,CA,42
117,Laval,QC,CA,53
118,Lethbridge,AB,CA,46
119,London,ON,CA,37
120,Longueuil,QC,CA,69
121,Maple Ridge,BC,CA,33
122,Markham,ON,CA,43
123,Mississauga,ON,CA,49
124,Moncton,NB,CA,32
125,Montreal,QC,CA,69
126,Nanaimo,BC,CA,36
127,Niagara Falls,ON,CA,40
128,Oakville,ON,CA,50
129,Oshawa,ON,CA,36
130,Ottawa,ON,CA,52
131,Ottawa - Inner Greenbelt,ON,CA,52
132,Peterborough,ON,CA,38
133,Port Coquitlam,BC,CA,35
134,Port Moody,BC,CA,40
135,Prince George,BC,CA,30
136,Quebec City,QC,CA,58
137,Red Deer,AB,CA,47
138,Regina,SK,CA,32
139,Repentigny,QC,CA,53
140,Richmond,BC,CA,39
141,Richmond Hill,ON,CA,51
142,Saguenay,QC,CA,49
143,Saint John,NB,CA,34
144,Sainte-Julie,QC,CA,77
145,Sarnia,ON,CA,31
146,Saskatoon,SK,CA,33
147,Sault Ste. Marie,ON,CA,27
148,Sherbrooke,QC,CA,31
149,Sorel-Tracy,QC,CA,57
150,St. Catharines,ON,CA,34
151,St. John's,NL,CA,32
152,Stratford,ON,CA,41
153,Surrey,BC,CA,38
154,Terrebonne,QC,CA,54
155,Thunder Bay,ON,CA,31
156,Toronto,ON,CA,45
157,Vancouver,BC,CA,56
158,Vaughan,ON,CA,49
159,Vernon,BC,CA,35
160,Victoria,BC,CA,56
161,Waterloo,ON,CA,49
162,Whitby,ON,CA,42
163,Windsor,ON,CA,34
164,Winnipeg,MB,CA,32
165,Santiago,Santiago,CL,51
166,Bogota,Bogota,CO,68
167,Havana,Havana,CU,45
168,Berlin,Berlin,DE,78
169,Hamburg,Hamburg,DE,67
170,Munich,Munich,DE,83
171,Alicante,Alicante,ES,67
172,Barcelona,Barcelona,ES,74
173,Logroño,Logroño,ES,67
174,Madrid,Madrid,ES,59
175,Sevilla,Sevilla,ES,74
176,Valencia,Valencia,ES,76
177,Calais,HDF,FR,66
178,Chambéry,ARA,FR,65
179,Lyon,ARA,FR,81
180,Marseille,PAC,FR,65
181,Paris,IDF,FR,83
182,Saint-Quentin-en-Yvelines,IDF,FR,63
183,Ashford,Ashford,GB,48
184,Barking and Dagenham,Barking and Dagenham,GB,33
185,Barnet,Barnet,GB,20
186,Bedford,Bedford,GB,50
187,Belfast,Belfast,GB,46
188,Bexley,Bexley,GB,30
189,Birmingham,Birmingham,GB,30
190,Birmingham Metro,Birmingham Metro,GB,25
191,Bolton,Bolton,GB,23
192,Brent,Brent,GB,39
193,Bromley,Bromley,GB,28
194,Bury,Bury,GB,23
195,Camden,Camden,GB,61
196,Cardiff,Cardiff,GB,67
197,City of London,City of London,GB,68
198,City of Manchester,City of Manchester,GB,42
199,Coventry,Coventry,GB,21
200,Croydon,Croydon,GB,42
201,Dudley,Dudley,GB,17
202,Ealing,Ealing,GB,61
203,Edinburgh,Edinburgh,GB,76
204,Enfield,Enfield,GB,41
205,Glasgow,Glasgow,GB,57
206,Greenwich,Greenwich,GB,51
207,Guildford,Guildford,GB,41
208,Hackney,Hackney,GB,71
209,Hammersmith and Fulham,Hammersmith and Fulham,GB,61
210,Haringey,Haringey,GB,57
211,Harrow,Harrow,GB,30
212,Havering,Havering,GB,33
213,Hillingdon,Hillingdon,GB,37
214,Hounslow,Hounslow,GB,49
215,Islington,Islington,GB,66
216,Kensington and Chelsea,Kensington and Chelsea,GB,61
217,Kingston upon Thames,Kingston upon Thames,GB,51
218,Lambeth,Lambeth,GB,61
219,Leeds,Leeds,GB,59
220,Lewisham,Lewisham,GB,59
221,London Metro,London Metro,GB,48
222,Manchester Metro,Manchester Metro,GB,30
223,Merton,Merton,GB,58
224,Milton Keynes,Milton Keynes,GB,69
225,Newham,Newham,GB,40
226,Oldham,Oldham,GB,22
227,Plymouth,Plymouth,GB,47
228,Redbridge,Redbridge,GB,37
229,Richmond upon Thames,Richmond upon Thames,GB,62
230,Rochdale,Rochdale,GB,21
231,Salford,Salford,GB,29
232,Sandwell,Sandwell,GB,20
233,Solihull,Solihull,GB,25
234,Southend-on-Sea,Southend-on-Sea,GB,53
235,Southwark,Southwark,GB,69
236,Stockport,Stockport,GB,25
237,Sutton,Sutton,GB,43
238,Swansea,Swansea,GB,51
239,Tameside,Tameside,GB,25
240,Tower Hamlets,Tower Hamlets,GB,59
241,Trafford,Trafford,GB,26
242,Wakefield,Wakefield,GB,41
243,Walsall,Walsall,GB,20
244,Waltham Forest,Waltham Forest,GB,66
245,Wandsworth,Wandsworth,GB,60
246,Westminster,Westminster,GB,65
247,Wigan,Wigan,GB,35
248,Wolverhampton,Wolverhampton,GB,20
249,York,York,GB,63
250,Athens,Athens,GR,63
251,Guatemala City,Guatemala City,GT,44
252,Kastav,Kastav,HR,31
253,Osijek,Osijek,HR,49
254,Dublin,Dublin,IE,63
255,Baghdad,Baghdad,IQ,46
256,Tabriz,Tabriz,IR,39
257,Bologna,Bologna,IT,73
258,Milan,Milan,IT,69
259,Naples,Naples,IT,49
260,Rome,Rome,IT,50
261,Val di Sole,Val di Sole,IT,68
262,Verona,Verona,IT,66
263,Guadalajara,Guadalajara,MX,59
264,Mexico City,Mexico City,MX,57
265,Monterrey,Monterrey,MX,58
266,Mérida,Mérida,MX,57
267,Oaxaca,Oaxaca,MX,57
268,San Pedro Garza Garcia,San Pedro Garza Garcia,MX,49
269,Tijuana,Tijuana,MX,54
270,Zapopan,Zapopan,MX,55
271,Almere,FL,NL,85
272,Amsterdam,NH,NL,82
273,Eindhoven,NB,NL,82
274,Enschede,OV,NL,69
275,Groningen,GR,NL,80
276,Lelystad,FL,NL,75
277,Rijswijk,ZH,NL,80
278,Rotterdam,ZH,NL,70
279,The Hague,ZH,NL,89
280,Utrecht,UT,NL,84
281,Woensdrecht,NB,NL,36
282,Zwolle,OV,NL,77
283,Christchurch,Christchurch,NZ,53
284,Lisbon,Lisbon,PT,64
285,Sakarya,Sakarya,TR,21
286,Aberdeen,SD,US,54
287,Abilene,TX,US,6
288,Abingdon,VA,US,24
289,Acton,MA,US,17
290,Acworth,GA,US,13
291,Addison,TX,US,19
292,Akron,NY,US,20
293,Akron,OH,US,22
294,Alafaya,FL,US,26
295,Alameda,CA,US,46
296,Alamo,CA,US,30
297,Alamogordo,NM,US,9
298,Albany,OR,US,23
299,Albany,GA,US,11
300,Albany,CA,US,58
301,Albany,NY,US,10
302,Albuquerque,NM,US,31
303,Aledo,TX,US,30
304,Alexandria,MN,US,9
305,Alexandria,VA,US,34
306,Algonquin,IL,US,29
307,Alhambra,CA,US,24
308,Aliso Viejo,CA,US,10
309,Allen,TX,US,22
310,Allentown,PA,US,29
311,Alliance,OH,US,40
312,Alma,MI,US,32
313,Alpharetta,GA,US,17
314,Altadena,CA,US,18
315,Altamonte Springs,FL,US,6
316,Altoona,PA,US,36
317,Alvarado,TX,US,13
318,Alvord,TX,US,16
319,Amarillo,TX,US,6
320,American Canyon,CA,US,31
321,American Fork,UT,US,25
322,Ames,IA,US,63
323,Amherst,MA,US,17
324,Anaheim,CA,US,13
325,Anchorage,AK,US,57
326,Anderson,IN,US,6
327,Ankeny,IA,US,70
328,Ann Arbor,MI,US,41
329,Anna,TX,US,28
330,Annapolis,MD,US,12
331,Annetta,TX,US,23
332,Antioch,CA,US,29
333,Appleton,WI,US,29
334,Aptos,CA,US,33
335,Arcata,CA,US,55
336,Ardmore,PA,US,41
337,Argyle,TX,US,21
338,Arlington,VA,US,54
339,Arlington,TX,US,8
340,Arlington Heights,IL,US,8
341,Arnold,MD,US,21
342,Arnold,MO,US,22
343,Arroyo Grande,CA,US,28
344,Arvada,CO,US,22
345,Asbury Park,NJ,US,49
346,Ashburn,VA,US,18
347,Asheboro,NC,US,7
348,Asheville,NC,US,8
349,Ashland,WI,US,80
350,Ashland,OR,US,70
351,Aspen,CO,US,75
352,Atascadero,CA,US,31
353,Athens,OH,US,60
354,Athens,PA,US,23
355,Athens,GA,US,17
356,Atlanta,GA,US,25
357,Atlantic Highlands,NJ,US,52
358,Aubrey,TX,US,18
359,Auburn,WA,US,24
360,Auburn,AL,US,22
361,Auburn,ME,US,12
362,Augusta,GA,US,11
363,Augusta,ME,US,22
364,Aurora,TX,US,27
365,Aurora,IL,US,51
366,Aurora,CO,US,36
367,Austin,TX,US,31
368,Austin metro area,TX,US,27
369,Aventura,FL,US,8
370,Avon,IN,US,11
371,Avon,CO,US,26
372,Avon Lake,OH,US,35
373,Avondale,AZ,US,23
374,Avondale Estates,GA,US,4
375,Ayer,MA,US,12
376,Azle,TX,US,11
377,Bainbridge Island,WA,US,28
378,Bakersfield,CA,US,13
379,Balch Springs,TX,US,21
380,Baldwin Park,CA,US,15
381,Balltown,IA,US,67
382,Ballwin,MO,US,30
383,Baltimore,MD,US,31
384,Bandon,OR,US,57
385,Bangor,ME,US,30
386,Baraboo,WI,US,61
387,Barberton,OH,US,23
388,Barnstable Town,MA,US,9
389,Barrington,IL,US,8
390,Barrington,RI,US,23
391,Bartlesville,OK,US,23
392,Bartlett,IL,US,17
393,Bartlett,TN,US,17
394,Bartonville,TX,US,23
395,Baseline: NEO 7-mile radius (5-mile bikeshed),AR,US,31
396,Baseline: NEO 7-mile radius (7-mile bikeshed),AR,US,38
397,Baseline: NEO 7-mile radius (Trial w/ file),AR,US,38
398,Baseline: NEO 7-mile radius (default bikeshed),AR,US,34
399,Bastrop,TX,US,9
400,Batavia,IL,US,12
401,Baton Rouge,LA,US,20
402,Battle Creek,MI,US,38
403,Bay City,MI,US,42
404,Bear,DE,US,16
405,Beaumont,CA,US,25
406,Beaver,PA,US,36
407,Beaverton,OR,US,29
408,Bedford,TX,US,10
409,Bedford,MA,US,34
410,Bee Cave,TX,US,32
411,Bel Air,MD,US,18
412,Bella Vista,AR,US,38
413,Belleville,IL,US,8
414,Bellevue,NE,US,26
415,Bellevue,WA,US,32
416,Bellingham,WA,US,48
417,Bellwood,PA,US,31
418,Bemidji,MN,US,18
419,Benbrook,TX,US,9
420,Bend,OR,US,29
421,Bennett,CO,US,25
422,Benton County,AR,US,37
423,Bentonville,AR,US,40
424,Berkeley,CA,US,67
425,Berkeley Lake,GA,US,24
426,Berthoud,CO,US,10
427,Bethany Beach,DE,US,22
428,Bethel,CT,US,20
429,Bethesda,MD,US,39
430,Bethlehem,NY,US,13
431,Bethlehem,PA,US,27
432,Bettendorf,IA,US,46
433,Beverly Hills,CA,US,37
434,Biddeford,ME,US,25
435,Big Bear Lake,CA,US,33
436,Big Rapids,MI,US,43
437,Billerica,MA,US,8
438,Billings,MT,US,35
439,Biloxi,MS,US,20
440,Binghamton,NY,US,4
441,Birdsboro,PA,US,59
442,Birmingham,AL,US,22
443,Bismarck,ND,US,41
444,Black Hawk,CO,US,24
445,Blacksburg,VA,US,42
446,Blanco,TX,US,14
447,Bloomington,IN,US,37
448,Bloomington,MN,US,16
449,Bloomington,IL,US,8
450,Blue Diamond,NV,US,85
451,Blue Mound,TX,US,9
452,Blue Ridge,TX,US,33
453,Boca Raton,FL,US,9
454,Boise,ID,US,22
455,Bonita,CA,US,13
456,Bossier City,LA,US,17
457,Boston,MA,US,28
458,Boulder,CO,US,68
459,Boulder Junction,WI,US,50
460,Bountiful,UT,US,22
461,Bourbonnais,IL,US,9
462,Bow Mar,CO,US,4
463,Bowie,MD,US,13
464,Bowling Green,OH,US,32
465,Bowling Green,KY,US,37
466,Boyd,TX,US,25
467,Boynton Beach,FL,US,10
468,Bozeman,MT,US,46
469,Bradenton,FL,US,8
470,Brady,TX,US,6
471,Brainerd,MN,US,6
472,Braintree,MA,US,11
473,Braselton,GA,US,17
474,Braswell,GA,US,50
475,Brattleboro,VT,US,46
476,Breckenridge,CO,US,25
477,Bremerton,WA,US,25
478,Brewster,NY,US,17
479,Bridgeport,CT,US,11
480,Bridgeport,TX,US,9
481,Bridgeton,NJ,US,16
482,Bridgewater Center,NJ,US,26
483,Brielle,NJ,US,9
484,Brighton,MI,US,28
485,Brighton,CO,US,17
486,Bristol,CT,US,21
487,Broken Arrow,OK,US,21
488,Brookfield,WI,US,25
489,Brookhaven,GA,US,16
490,Brookings,OR,US,39
491,Brookings,SD,US,26
492,Brookline,MA,US,19
493,Brooklyn,NY,US,67
494,Brooksville,FL,US,12
495,Brookville,IN,US,13
496,Broomfield,CO,US,47
497,Buchanan,MI,US,50
498,Buckeye,AZ,US,27
499,Buckfield,ME,US,43
500,Buckhannon,WV,US,26
501,Buellton,CA,US,28
502,Buena Vista,CO,US,14
503,Buffalo,NY,US,8
504,Buford,GA,US,15
505,Burbank,CA,US,29
506,Burke,VA,US,26
507,Burleson,TX,US,12
508,Burlingame,CA,US,38
509,Burlington,VT,US,60
510,Burlington,IA,US,26
511,Butte-Silver Bow,MT,US,30
512,Caddo Mills,TX,US,32
513,Cadillac,MI,US,58
514,Camarillo,CA,US,16
515,Cambridge,MA,US,65
516,Camden,NJ,US,24
517,Camp Hill,PA,US,28
518,Canandaigua,NY,US,8
519,Canton,GA,US,16
520,Canton,OH,US,20
521,Cape Coral,FL,US,5
522,Capitola,CA,US,16
523,Carlisle,PA,US,38
524,Carlsbad,CA,US,21
525,Carmel,IN,US,58
526,Carpentersville,IL,US,17
527,Carpinteria,CA,US,31
528,Carrboro,NC,US,36
529,Carrollton,GA,US,17
530,Carrollton,TX,US,11
531,Carson,CA,US,14
532,Carson City,NV,US,41
533,Cary,NC,US,33
534,Cary,IL,US,18
535,Casa Grande,AZ,US,39
536,Casper,WY,US,5
537,Casselberry,FL,US,8
538,Castle Pines,CO,US,31
539,Castle Rock,CO,US,23
540,Castro Valley,CA,US,19
541,Catskill,NY,US,14
542,Cañon City,CO,US,6
543,Cedar City,UT,US,24
544,Cedar Falls,IA,US,47
545,Cedar Grove,NJ,US,18
546,Cedar Hill,TX,US,11
547,Cedar Rapids,IA,US,28
548,Celina,TX,US,14
549,Centennial,CO,US,12
550,Centerton,AR,US,10
551,Centerville,OH,US,32
552,Centerville,UT,US,17
553,Central City,CO,US,10
554,"Central Core, Austin",TX,US,39
555,Chamblee,GA,US,9
556,Champaign,IL,US,23
557,Chandler,AZ,US,26
558,Chanhassen,MN,US,30
559,Chantilly,VA,US,26
560,Chapel Hill,NC,US,32
561,Charleston,SC,US,9
562,Charleston,WV,US,22
563,Charlotte,NC,US,29
564,Charlottesville,VA,US,23
565,Chattanooga,TN,US,21
566,Chautauqua,NY,US,67
567,Chelmsford,MA,US,7
568,Chelsea,MI,US,50
569,Cherry Hill,NJ,US,26
570,Cherry Hills Village,CO,US,20
571,Chesapeake,VA,US,20
572,Chester,MD,US,16
573,Cheyenne,WY,US,7
574,Chicago,IL,US,7
575,Chico,CA,US,49
576,China Grove,NC,US,8
577,Chino,CA,US,21
578,Chino Hills,CA,US,25
579,Christiansburg,VA,US,24
580,Chula Vista,CA,US,23
581,Chunchula,AL,US,50
582,Cicero,IN,US,14
583,Cincinnati,OH,US,25
584,Claremont,CA,US,22
585,Clarkston,GA,US,9
586,Clarksville,TN,US,24
587,Clearwater,FL,US,9
588,Cleburne,TX,US,8
589,Clemson,SC,US,13
590,Clermont,FL,US,13
591,Cleveland,OH,US,29
592,Cleveland,TN,US,35
593,Clinton,NY,US,14
594,Clinton Township,MI,US,24
595,Closter,NJ,US,28
596,Clovis,CA,US,23
597,Cochituate,MA,US,11
598,Cockrell Hill,TX,US,10
599,Coeur D'Alene,ID,US,44
600,College Park,MD,US,20
601,College Park,GA,US,7
602,College Station,TX,US,19
603,Colleyville,TX,US,25
604,Collier County,FL,US,13
605,Collierville,TN,US,17
606,Colorado Springs,CO,US,38
607,Colorado Springs Metro,CO,US,35
608,Columbia,MD,US,33
609,Columbia,SC,US,8
610,Columbia,MO,US,36
611,Columbine Valley,CO,US,6
612,Columbus,IN,US,13
613,Columbus,OH,US,26
614,Columbus,NE,US,20
615,Columbus,GA,US,9
616,Combine,TX,US,23
617,Combined Locks,WI,US,21
618,Commerce,TX,US,12
619,Commerce,MI,US,24
620,Commerce City,CO,US,14
621,Concord,NH,US,14
622,Concord,NC,US,11
623,Conway,AR,US,19
624,Conyers,GA,US,11
625,Coon Rapids,MN,US,18
626,Cooperstown,NY,US,19
627,Coppell,TX,US,30
628,Copper Canyon,TX,US,22
629,Coral Gables,FL,US,11
630,Corinth,TX,US,22
631,Cornish,ME,US,29
632,Corona,CA,US,15
633,Coronado,CA,US,42
634,Corpus Christi,TX,US,8
635,Corsicana,TX,US,10
636,Corte Madera,CA,US,34
637,Corvallis,OR,US,66
638,Costa Mesa,CA,US,11
639,Cottonwood Heights,UT,US,24
640,Council Bluffs,IA,US,37
641,Covington,GA,US,11
642,Covington,KY,US,22
643,Cranberry,PA,US,24
644,Crandall,TX,US,14
645,Cranston,RI,US,15
646,Cresskill,NJ,US,21
647,Cresson,TX,US,28
648,Crested Butte,CO,US,87
649,Crestline,OH,US,37
650,Crofton,MD,US,25
651,Crosby,MN,US,16
652,Cross Roads,TX,US,14
653,Crowley,TX,US,12
654,Crown Point,IN,US,8
655,Crystal Lake,IL,US,7
656,Culver City,CA,US,29
657,Cumberland,MD,US,4
